aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited
CJ1,Tamarack,0,10,35000,0.64,1051,100,600,False,2420,ok,,291.17859979313573,60,821,35006,423,35006,False,0.6394751164056358,False
CJ1,Flatwing,0,10,35000,0.64,1150,100,600,False,2400,ok,,274.91213246559255,57,803,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,10,35000,0.64,1261,100,600,False,2210,ok,,203.47923398276586,46,638,35006,337,35006,False,0.5094636270182016,True
CJ1,Tamarack,0,10,35000,0.64,1471,100,600,False,2000,ok,,203.47923398276586,46,638,35006,337,35006,False,0.5094636270182016,True
CJ1,Flatwing,0,20,35000,0.64,0,100,600,False,3440,ok,,826.0769660030038,147,1856,35007,423,35007,False,0.6394751164056358,False
CJ1,Tamarack,0,20,35000,0.64,0,100,600,False,3440,ok,,849.355575146067,151,1855,35003,423,35003,False,0.6394751164056358,False
CJ1,Flatwing,0,20,35000,0.64,164,100,600,False,3386,ok,,792.4691666407456,141,1799,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,20,35000,0.64,210,100,600,False,3261,ok,,751.9495731929012,135,1674,35004,423,35004,False,0.6394751164056358,False
CJ1,Flatwing,0,20,35000,0.64,329,100,600,False,3221,ok,,705.7687329224107,127,1632,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,20,35000,0.64,420,100,600,False,3051,ok,,637.7252214260543,116,1459,35004,423,35004,False,0.6394751164056358,False
CJ1,Flatwing,0,20,35000,0.64,493,100,600,False,3057,ok,,620.084499722781,113,1466,35004,423,35004,False,0.6394751164056358,False
CJ1,Tamarack,0,20,35000,0.64,631,100,600,False,2840,ok,,524.5213058929835,98,1245,35004,423,35004,False,0.6394751164056358,False
